"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 10:36:29 UTC 2022","Wed Sep 21 10:36:33 UTC 2022","4595","","Main page functional","","Main page functional","Drop-down appears when user hover on Pricing in header","Drop-down appears when user hover on Pricing in header",""
"passed","Wed Sep 21 13:56:57 UTC 2022","Wed Sep 21 13:57:00 UTC 2022","3177","","Main page functional","","Main page functional","In Powerful products block displayed: Messanging API card","In Powerful products block displayed: Messanging API card",""
"passed","Wed Sep 21 10:29:48 UTC 2022","Wed Sep 21 10:30:07 UTC 2022","18834","","Login page","","Login page","Company email input field appears, when user click ""Single Sign-On button""","Company email input field appears, when user click ""Single Sign-On button""",""
"passed","Wed Sep 21 10:33:26 UTC 2022","Wed Sep 21 10:33:50 UTC 2022","24505","","Login page","","Login page","User directed on Github login form by click [Log in with Github] button","User directed on Github login form by click [Log in with Github] button",""
"passed","Wed Sep 21 10:26:49 UTC 2022","Wed Sep 21 10:26:57 UTC 2022","7858","","Main page functional","","Main page functional","Drop-down appears when user hover on Solutions in header","Drop-down appears when user hover on Solutions in header",""
"passed","Wed Sep 21 10:27:33 UTC 2022","Wed Sep 21 10:27:41 UTC 2022","8036","","Main page functional","","Main page functional","In Powerful products block displayed: Messanging API card","In Powerful products block displayed: Messanging API card",""
"passed","Wed Sep 21 13:56:42 UTC 2022","Wed Sep 21 13:56:44 UTC 2022","2209","","Main page functional","","Main page functional","Drop-down appears when user hover on Solutions in header","Drop-down appears when user hover on Solutions in header",""
"passed","Wed Sep 21 10:27:11 UTC 2022","Wed Sep 21 10:27:20 UTC 2022","8092","","Main page functional","","Main page functional","Drop-down appears when user hover on Pricing in header","Drop-down appears when user hover on Pricing in header",""
"passed","Wed Sep 21 10:29:26 UTC 2022","Wed Sep 21 10:29:48 UTC 2022","22174","","Login page","","Login page","User directed on sigh-up page by click ""Sign up"" button from login page","User directed on sigh-up page by click ""Sign up"" button from login page",""
"passed","Wed Sep 21 13:57:19 UTC 2022","Wed Sep 21 13:57:26 UTC 2022","6843","","Login page","","Login page","User directed on reset password page by click ""Forgot your password?"" button","User directed on reset password page by click ""Forgot your password?"" button",""
"passed","Wed Sep 21 13:56:49 UTC 2022","Wed Sep 21 13:56:52 UTC 2022","3056","","Main page functional","","Main page functional","Drop-down appears when user hover on Pricing in header","Drop-down appears when user hover on Pricing in header",""
"passed","Wed Sep 21 13:56:48 UTC 2022","Wed Sep 21 13:56:57 UTC 2022","9355","","Login page","","Login page","Error message ""Please enter a valid email address."" appears when user email input without ""@""","Error message ""Please enter a valid email address."" appears when user email input without ""@""",""
"skipped","Wed Sep 21 13:59:02 UTC 2022","Wed Sep 21 13:59:02 UTC 2022","0","","Login page","","Login page","Business name input field appears, when user click ""Company name"" button in Single Sign-On form","Business name input field appears, when user click ""Company name"" button in Single Sign-On form",""
"passed","Wed Sep 21 13:58:20 UTC 2022","Wed Sep 21 13:58:27 UTC 2022","6939","","Login page","","Login page","User directed on Github login form by click [Log in with Github] button","User directed on Github login form by click [Log in with Github] button",""
"passed","Wed Sep 21 10:26:33 UTC 2022","Wed Sep 21 10:27:12 UTC 2022","39941","","Login page","","Login page","Error message appears when user try to login with empty input","Error message appears when user try to login with empty input",""
"passed","Wed Sep 21 13:57:00 UTC 2022","Wed Sep 21 13:57:02 UTC 2022","2071","","Main page functional","","Main page functional","In Powerful products block displayed: Video API card","In Powerful products block displayed: Video API card",""
"passed","Wed Sep 21 13:59:14 UTC 2022","Wed Sep 21 13:59:16 UTC 2022","2143","","Main page functional","","Main page functional","Drop-down appears when user hover on Resources in header","Drop-down appears when user hover on Resources in header",""
"passed","Wed Sep 21 10:36:16 UTC 2022","Wed Sep 21 10:36:23 UTC 2022","6983","","Main page functional","","Main page functional","Drop-down appears when user hover on Resources in header","Drop-down appears when user hover on Resources in header",""
"passed","Wed Sep 21 13:57:39 UTC 2022","Wed Sep 21 13:57:45 UTC 2022","5540","","Login page","","Login page","Company email input field appears, when user click ""Single Sign-On button""","Company email input field appears, when user click ""Single Sign-On button""",""
"passed","Wed Sep 21 10:27:54 UTC 2022","Wed Sep 21 10:28:08 UTC 2022","13642","","Login page","","Login page","User directed on Github login form by click [Log in with Github] button","User directed on Github login form by click [Log in with Github] button",""
"passed","Wed Sep 21 13:58:39 UTC 2022","Wed Sep 21 13:58:45 UTC 2022","5916","","Login page","","Login page","User directed on reset password page by click ""Forgot your password?"" button","User directed on reset password page by click ""Forgot your password?"" button",""
"passed","Wed Sep 21 10:26:57 UTC 2022","Wed Sep 21 10:27:04 UTC 2022","7023","","Main page functional","","Main page functional","Drop-down appears when user hover on Resources in header","Drop-down appears when user hover on Resources in header",""
"passed","Wed Sep 21 13:56:38 UTC 2022","Wed Sep 21 13:56:48 UTC 2022","10410","","Login page","","Login page","Error message appears when user try to login with empty input","Error message appears when user try to login with empty input",""
"passed","Wed Sep 21 13:57:14 UTC 2022","Wed Sep 21 13:57:19 UTC 2022","5522","","Login page","","Login page","User directed on Facebook login form by click [Log in with Facebook] button","User directed on Facebook login form by click [Log in with Facebook] button",""
"passed","Wed Sep 21 10:34:09 UTC 2022","Wed Sep 21 10:34:26 UTC 2022","17446","","Login page","","Login page","User directed on Facebook login form by click [Log in with Facebook] button","User directed on Facebook login form by click [Log in with Facebook] button",""
"passed","Wed Sep 21 10:27:12 UTC 2022","Wed Sep 21 10:27:37 UTC 2022","24269","","Login page","","Login page","Error message ""Please enter a valid email address."" appears when user email input without ""@""","Error message ""Please enter a valid email address."" appears when user email input without ""@""",""
"passed","Wed Sep 21 10:29:12 UTC 2022","Wed Sep 21 10:29:26 UTC 2022","14217","","Login page","","Login page","User directed on microsoft login page by click ""Log in with Microsoft"" button","User directed on microsoft login page by click ""Log in with Microsoft"" button",""
